Subfamily	Genus	Species	Subspecies	Author Date
Agroecomyrmecinae	Ankylomyrma	coronacantha		Bolton, 1973
Agroecomyrmecinae	Tatuidris	tatusia		Brown & Kempf, 1968
Amblyoponinae	Adetomyrma	bressleri		Yoshimura & Fisher, 2012
Amblyoponinae	Adetomyrma	caputleae		Yoshimura & Fisher, 2012
Amblyoponinae	Amblyopone	australis		Erichson, 1842
Amblyoponinae	Amblyopone	longidens		Forel, 1910
Amblyoponinae	Fulakora	armigera		(Mayr, 1887)
Amblyoponinae	Fulakora	cleae		(Lacau & Delabie, 2002)
Amblyoponinae	Fulakora	elongata		(Santschi, 1912)
Amblyoponinae	Fulakora	jtl001		null
Amblyoponinae	Fulakora	minima		(Kusnezov, 1955)
Amblyoponinae	Fulakora	mystriops		(Brown, 1960)
Amblyoponinae	Fulakora	saundersi		(Forel, 1892)
Amblyoponinae	Myopopone	castanea		(Smith, 1860)
Amblyoponinae	Mystrium	camillae		Emery, 1889
Amblyoponinae	Mystrium	mysticum		Roger, 1862
Amblyoponinae	Mystrium	voeltzkowi		Forel, 1897
Amblyoponinae	Onychomyrmex	au01		null
Amblyoponinae	Onychomyrmex	hedleyi		Emery, 1895
Amblyoponinae	Prionopelta	amabilis		Borgmeier, 1949
Amblyoponinae	Prionopelta	concenta		(Brown, 1974)
Amblyoponinae	Prionopelta	subtilis		Overson & Fisher, 2015
Amblyoponinae	Stigmatomma	afrc-lim-01		null
Amblyoponinae	Stigmatomma	bellii		(Forel, 1900)
Amblyoponinae	Stigmatomma	bolabola		Esteves & Fisher, 2016
Amblyoponinae	Stigmatomma	boltoni		(Bharti & Wachkoo, 2011)
Amblyoponinae	Stigmatomma	cf01		null
Amblyoponinae	Stigmatomma	cf03		null
Amblyoponinae	Stigmatomma	cf05		null
Amblyoponinae	Stigmatomma	cn02		null
Amblyoponinae	Stigmatomma	denticulatum		Roger, 1859
Amblyoponinae	Stigmatomma	ga01		null
Amblyoponinae	Stigmatomma	janovitsika		Esteves & Fisher, 2016
Amblyoponinae	Stigmatomma	mm02		null
Amblyoponinae	Stigmatomma	my03		null
Amblyoponinae	Stigmatomma	my04		null
Amblyoponinae	Stigmatomma	pallipes		(Haldeman, 1844)
Amblyoponinae	Stigmatomma	pluto_cf		null
Amblyoponinae	Stigmatomma	roahady		Esteves & Fisher, 2016
Amblyoponinae	Stigmatomma	sakalava		Esteves & Fisher, 2016
Amblyoponinae	Stigmatomma	scrobiceps		(Guénard, Blanchard, Liu, Yang & Economo, 2013)
Amblyoponinae	Stigmatomma	silvestrii		Wheeler, 1928
Amblyoponinae	Stigmatomma	st01		null
Amblyoponinae	Stigmatomma	th01		null
Amblyoponinae	Stigmatomma	th04		null
Amblyoponinae	Stigmatomma	th05		null
Amblyoponinae	Stigmatomma	zwaluwenburgi		Williams, 1946
Amblyoponinae	Xymmer	cf01		null
Amblyoponinae	Xymmer	mg01		null
Amblyoponinae	Xymmer	mgm04		null
Amblyoponinae	Xymmer	muticus		(Santschi, 1914)
Amblyoponinae	Xymmer	th01		null
Aneuretinae	Aneuretus	simoni		Emery, 1893
Apomyrminae	Apomyrma	cf01		null
Apomyrminae	Apomyrma	cf02		null
Apomyrminae	Apomyrma	stygia		Brown, Gotwald & Lévieux, 1971
Dolichoderinae	Anonychomyrma	gilberti		(Forel, 1902)
